course_id,course_code,course_title,course_credits
1,CMPS314,ALGORITHMS,3
2,CMPS316,PROGRAMMING LANGUAGES,3
3,CMPS412,ADVANCED COMPUTER ARCHITECTURE,3
4,MATH480,LINEAR PROGRAMMING.,3
5,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,3
6,ENGL318,TECHNICAL WRITING.,3
7,MATH330,DISCRETE MATHEMATHICS,3
8,CMPS414,NETWORKING II,3
9,CMPS418,LINUX ADMINISTRATION,3
10,CMPS429,SENIOR INTERNSHIP,12
11,CMPS324,SOFTWARE ENGINEERING,3
12,MATH441,NUMERICAL ANALYSIS,3
13,CMPS328,DATABASE MGMT. SYS. II,3
14,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,3
15,CMPS332,P C REPAIR,3
16,PHYS241,GENERAL PHYSICS I,3
17,CMPS416,COMPILER CONSTRUCTION,3
18,CMPS248,SOFTWARE IN SOCIETY,3
19,HIST201,BELIZEAN HISTORY,3
20,CMPS155,COMPUTER TECHNOLOGY,3
21,MATH210,DIFFERENTIAL CALCULUS,4
22,CMPS260,PROJECT,3
23,GSTU101,STUDY SKILLS,1
24,CMPS246,COMPUTER ARCHITECTURE,3
25,CMPS145,INTRODUCTION TO COMPUTER SYSTEMS,3
26,CMPS146,PROGRAMMING FOUNDATIONS,4
27,CMPS247,COMPUTER NETWORKING I,3
28,SPAN111,SPANISH 1,3
29,CMPS156,DATA STRUCTURES,3
30,CMPS256,OPERATING SYSTEMS,3
31,CMPS255,OBJECT ORIENTED SYSTEM DEV.,4
32,CMPS144,PRINCIPLES OF PROGRAMMING II,3
33,MATH124,TRIGONOMETRY,3
34,CMPS245,DATABASE MANAGEMENT SYSTEMS I,3
35,CMPS157,SYSTEM ANALYSIS,3
36,MATH125,ADVANCED ALGEBRA,3
37,PSYC221,INTRO TO PSYCHOLOGY,3
38,SOCL221,INTRODUCTION TO SOCIOLOGY,3
39,MAT103,TRIGONOMETRY 1,3
40,MATH1302,CALCULUS I,3
41,MGMT1014,FUNDAMENTALS OF MANAGEMENT,3
42,ENGL2105,COMMUNICATION SKILLS,3
43,CMPS1232,PRINCIPLES OF PROGRAMMING II,3
44,CMPS2111,SYSTEMS ANALYSIS,3
45,CMPS142,PRINCIPLES OF PROGRAMMING I,3
46,CMPS318,ADVANCED PC REPAIR,3
47,MATH104,CALCULUS I,3
48,MATH1201,TRIGONOMETRY,3
49,CMPS4251,COMPUTER AND NETWORK SECURITY,3
50,CMPS4181,MOBILE APPLICATION DEVELOPMENT,3
51,CMPS1124,AN INTRODUCTION TO PROGRAMMING USING PYTHON,3
52,MGMT101,APPLIED MANAGEMENT I,3
53,CMPS360,MANAGEMENT INFORMATION SYSTEM,3
54,CMPS1131,PROGRAMMING I,3
55,CMPS2171,DATABASE MANAGEMENT SYSTEMS I,3
56,CMPS4151,NETWORK ENGINEERING,3
57,CMPS315,NETWORK ENGINEERING,3
58,ENGL3155,TECHNICAL WRITING,3
59,CMPS4231,DIGITAL LOGIC & SIGNAL PROCESSING,3
60,CMPS3232,SYSTEMS ADMINISTRATION,3
61,MATH1151,ALGEBRA,3
62,MATH326,LINEAR PROGRAMMING,3
63,CMPS321,TELECOMMUNICATIONS SYSTEMS,3
64,CMPS319,SYSTEMS ENGINEERING,3
65,CMPS422,SENIOR SEMINAR IN INFORMATION TECHNOLOGY,3
66,CMPS417,JAVA PROGRAMMING,3
67,CMCN209,COMMUNICATION SKILLS,3
68,CMPS242,GUI PROGRAMMING,3
69,CMPS3111,PROGRAMMING LANGUAGES,3
70,CMPS213,BASIC PC REPAIR,3
71,CMPS244,WEB APPLICATION DEV. 1,3
72,CMPS3131,ADVANCED GUI PROGRAMMING,3
73,MATH3251,CALCULUS III,3
74,CMPS1134,FUNDAMENTALS OF COMPUTING,3
75,MATH2201,CALCULUS II,3
76,CMPS411,COMPUTER NETWORK SECURITY,3
77,MATH333,CALCULUS III,3
78,CMPS317,ADVANCED GUI DEVELOPMENT,3
79,MATH203,CALCULUS II,3
80,CMPS424,PROFESSIONAL PRACTICE,12
81,ENGL112,COLLEGE ENGLISH II,3
82,CMPS323,SYSTEMS ADMINISTRATION,3
83,MATH322,LINEAR ALGEBRA 1,3
84,PHYS1015,GENERAL PHYSICS I,3
85,EDUC335,PHILOSOPHY OF EDUCATION,3
86,PHIL210,ETHICS,3
87,EDUC221,PROFESSIONALISM IN EDUCATION,3
88,EDUC323,INSTRUCTIONAL TECHNIQUES,3
89,SPAN112,SPANISH II,3
90,SPED301,INTRO TO SPECIAL EDUCATION,3
91,EDUC345,CLASSROOM ASSESSMENT,3
92,MATH121,INTERMEDIATE ALGEBRA,3
93,ENGL111,COLLEGE ENGLISH I,3
94,CMPS150,COMPUTER BUSINESS APPLICATION,3
95,SOCL1014,INTRODUCTION TO SOCIOLOGY,3
96,CMPS2131,DATA STRUCTURES,3
97,ENGL1014,COLLEGE ENGLISH I,3
98,PSYC1014,INTRODUCTION TO PSYCHOLOGY,3
99,MATH3151,LINEAR ALGEBRA,3
100,SPAN2015,LEVEL 3 INTERMEDIATE SPANISH,3
101,CMPS3141,HUMAN COMPUTER INTERFACE,3
102,CMPS3151,TELECOMMUNICATION,3
103,CMPS3162,ADVANCED DATABASES,3
104,RSCH2014,RESEARCH METHODS,3
105,CMPS4131,SOFTWARE ENGINEERING,3
106,CMPS3171,NETWORK DESIGN,3
107,CMPS4191,ADVANCED WEB TECHNOLOGIES,3
108,SPAN1025,LEVEL 2 LOWER-INTERMEDIATE SPANISH,3
109,CMPS3012,MANAGEMENT INFORMATION SYSTEM,3
110,CMPS3272,SYSTEMS ENGINEERING,3
111,CMPS1212,BASIC PC REPAIR,3
112,CMPS4211,ADVANCED PC REPAIR,3
113,MGMT3015,ORGANIZATIONAL BEHAVIOR,3
114,CMPS4111,DATABASE MANAGEMENT SYSTEMS II,3
115,CMPS1014,INTRODUCTION TO COMPUTER STUDIES,3
116,PHIL1014,ETHICS,3
117,CMPS4992,PROFESSIONAL PRACTICE,12
118,CMPS4991,SENIOR SEMINAR IN INFORMATION TECHNOLOGY,3
119,ENGL299,THE COMPOSING PROCESS,3
120,CMPS330,GEOGRAPHIC INFORMATOIN SYSTEMS,3
121,CMPS326,ADVANCED COMPUTER ARCHITECTURE,3
122,CMPS2151,WEB DEVELOPMENT,3
123,CMPS3252,ALGORITHMS,3
124,EDUC3101,SOCIAL CONTEXT OF SCHOOLING,3
125,CMPS2212,GUI PROGRAMMING,3
126,EDUC2224,TEACHING METHODS FOR SECONDARY LEVEL,3
127,EDUC3453,CLASSROOM ASSESSMENT,3
128,EDUC4153,PROFESSIONALISM IN EDUCATION,3
129,EDUC3451,PHILOSOPHY OF EDUCATION,3
130,EDUC3302,INSTRUCTIONAL TECHNIQUES,3
131,PHYS1015L,GENERAL PHYSICS I LAB,1
132,CMPS2992,PROJECT,3
133,MATH2251,INTRO TO DISCRETE MATH,3
134,MATH4352,NUMERICAL ANALYSIS,4
135,CMPS2252,OPERATING SYSTEMS,3
136,EDUC3252,INTRODUCTION TO GUIDANCE & COUNSELLING,3
137,BLD109A,MASONRY THEORY,1
138,BLD115,GEOMETRY,1
139,BLD109C,PLUMBING (THEORY),3
140,BLD109F,INDUSTRIAL ORIENTATION,1
141,BLD110B,CARPENTRY & JOINERY (THEORY),1
142,BLD102,ELEMENTARY SURVEYING I,2
143,BLD109B,CARPENTRY & JOINERY (THEORY),1
144,BLD108,BUILDING CONSTRUCTION & DRAWING,4
145,BLD110A,MASONRY (THEORY),1
146,BLD116,GEOMETRY,1
147,BLD103,PROPERTIES OF MATERIALS 1,2
148,PHYS141,PHYSICS FOR BUILDING & ENGINEERING,2
149,BLD107,BUILDING CONSTRUCTION AND DRAWING 1,4
150,CMPS2232,OBJECT ORIENTED SYSTEM DEVELOPMENT,3
151,EDUC4256,MEASUREMENT AND EVALUATION,3
152,CMPS4252,DIGITAL LOGIC AND DESIGN,3
153,CMPS4232,SYSTEMS ADMINISTRATION,3
