feeder_id,feeder_name
164,UNIVERSITY OF BELIZE
165,*UNKNOWN
162,UNIVERSITY COLLEGE OF BELIZE
152,ST. JOHN'S COLLEGE JUNIOR COLLEGE
135,MUFFLES JUNIOR COLLEGE
148,ST. JOHN'S COLLEGE
105,BELIZE COLLEGE OF AGRICULTURE
107,BELIZE TECHNICAL COLLEGE
143,SACRED HEART JUNIOR COLLEGE
155,STANN CREEK ECUMENICAL HIGH SC
163,UNIVERSITY OF THE WEST INDIES
117,COROZAL JUNIOR COLLEGE
102,BELMOPAN JUNIOR COLLEGE
104,BELMOPAN COMPREHENSIVE SCHOOL
123,FOREIGN
108,BELIZE ADVENTIST COLLEGE
167,WESLEY JUNIOR COLLEGE
142,SACRED HEART COLLEGE
96,BELIZE ADVENTIST JUNIOR COLLEGE
156,STANN CREEK ECUMENICAL JR. COLLEGE
149,ST. CATHERINE ACADEMY
172,ESCUELA MEXICO JR COLLEGE
120,EDWARD P. YORKE
169,INDEPENDENCE JUNIOR COLLEGE
91,ADULT & CONTINUING EDUCATION
98,BELIZE CHRISTIAN ACADEMY
129,LADYVILLE TECHNICAL HIGH
139,OUR LADY OF GUADALUPE HIGH SCH
119,EDEN SDA HIGH
132,MOPAN TECHNICAL HIGH SCHOOL
158,TOLEDO COMMUNITY COLLEGE
