student_course_id,student_id,course_id,semester,semester_credits_attempted,semester_credits_earned,semester_points,semester_gpa,course_grade,course_gpa,cgpa,course_points,comments
1,1,1,2004-1,3,3,9,2.5,B,3,3.26,9,
2,1,2,2004-1,3,3,7.5,2.5,C+,2.5,3.26,7.5,
3,1,3,2004-2,3,3,9,3.1,B,3,3.26,9,
4,1,4,2005-1,3,3,10.5,3.5,B+,3.5,3.26,10.5,
5,1,5,2004-1,3,3,7.5,2.5,C+,2.5,3.26,7.5,
6,1,6,2004-1,3,3,7.5,2.5,C+,2.5,3.26,7.5,
7,1,7,2004-1,3,3,6,2.5,C,2,3.26,6,
8,1,8,2005-1,3,3,11.25,3.5,A-,3.75,3.26,11.25,
9,1,9,2005-1,3,3,11.25,3.5,A-,3.75,3.26,11.25,
10,1,10,2005-2,12,12,48,3.95,A,4,3.26,48,
11,1,11,2004-2,3,3,10.5,3.1,B+,3.5,3.26,10.5,
12,1,12,2005-1,3,3,9,3.5,B,3,3.26,9,
13,1,13,2005-2,3,3,11.25,3.95,A-,3.75,3.26,11.25,
14,1,14,2004-2,3,3,9,3.1,B,3,3.26,9,
15,1,13,2004-2,3,3,0,3.1,F,0,3.26,0,REPEAT
16,1,15,2004-2,3,3,12,3.1,A,4,3.26,12,
17,1,16,2004-2,3,3,6,3.1,C,2,3.26,6,
18,1,17,2005-1,3,3,10.5,3.5,B+,3.5,3.26,10.5,
19,19,18,2002-1,3,3,9,3.29,B,3,3.32,9,
20,19,19,2002-1,3,3,9,3.29,B,3,3.32,9,
21,19,20,2002-2,3,3,9,3.5,B,3,3.32,9,
22,19,21,2003-1,4,4,15,3.61,A-,3.75,3.32,15,
23,19,22,2003-2,3,3,7.5,3.04,C+,2.5,3.32,7.5,
24,19,1,2004-1,3,3,9,2.9,B,3,3.32,9,
25,19,7,2004-1,3,3,9,2.9,B,3,3.32,9,
26,19,8,2005-1,3,3,12,3.65,A,4,3.32,12,
27,19,23,2002-1,1,1,3.75,3.29,A-,3.75,3.32,3.75,
28,19,24,2003-1,3,3,9,3.61,B,3,3.32,9,
29,19,6,2004-1,3,3,9,2.9,B,3,3.32,9,
30,19,15,2004-2,3,3,12,3.4,A,4,3.32,12,
31,19,25,2002-1,3,3,9,3.29,B,3,3.32,9,
32,19,26,2002-1,4,4,14,3.29,B+,3.5,3.32,14,
33,19,27,2003-1,3,3,12,3.61,A,4,3.32,12,
34,19,11,2004-2,3,3,9,3.4,B,3,3.32,9,
35,19,13,2004-2,3,3,10.5,3.4,B+,3.5,3.32,10.5,
36,19,12,2005-1,3,3,11.25,3.65,A-,3.75,3.32,11.25,
37,19,4,2005-1,3,3,12,3.65,A,4,3.32,12,
38,19,10,2005-2,12,12,36,3,B,3,3.32,36,
39,19,28,2002-1,3,3,11.25,3.29,A-,3.75,3.32,11.25,
40,19,29,2003-1,3,3,11.25,3.61,A-,3.75,3.32,11.25,
41,19,30,2003-2,3,3,9,3.04,B,3,3.32,9,
42,19,31,2003-2,4,4,14,3.04,B+,3.5,3.32,14,
43,19,14,2004-2,3,3,9,3.4,B,3,3.32,9,
44,19,32,2002-2,3,3,10.5,3.5,B+,3.5,3.32,10.5,
45,19,33,2002-2,3,3,11.25,3.5,A-,3.75,3.32,11.25,
46,19,34,2003-1,3,3,10.5,3.61,B+,3.5,3.32,10.5,
47,19,5,2004-1,3,3,9,2.9,B,3,3.32,9,
48,19,2,2004-1,3,3,7.5,2.9,C+,2.5,3.32,7.5,
49,19,3,2004-2,3,3,10.5,3.4,B+,3.5,3.32,10.5,
50,19,9,2005-1,3,3,10.5,3.65,B+,3.5,3.32,10.5,
51,19,35,2002-2,3,3,10.5,3.5,B+,3.5,3.32,10.5,
52,19,36,2002-2,3,3,11.25,3.5,A-,3.75,3.32,11.25,
53,19,37,2002-2,3,3,10.5,3.5,B+,3.5,3.32,10.5,
54,19,38,2003-2,3,3,9,3.04,B,3,3.32,9,
55,19,17,2005-1,3,3,9,3.65,B,3,3.32,9,
56,56,39,2008-1,3,0,0,0.38,WF,0,1.33,0,
57,56,32,2008-2,3,3,0,1.75,F,0,1.33,0,
58,56,40,2011-2,3,0,0,2,WF,0,1.33,0,REPEAT
59,56,41,2011-2,3,3,6,2,C,2,1.33,6,REPEAT
60,56,42,2011-3,3,3,10.5,3.5,B+,3.5,1.33,10.5,
61,56,43,2013-2,3,3,0,0,F,0,1.33,0,REPEAT
62,56,44,2014-1,3,3,0,0,F,0,1.33,0,REPEAT
63,56,44,2016-1,3,3,0,0,F,0,1.33,0,REPEAT
64,56,45,2008-1,3,3,0,0.38,F,0,1.33,0,
65,56,46,2008-1,3,3,4.5,0.38,D+,1.5,1.33,4.5,
66,56,35,2008-2,3,0,0,1.75,WF,0,1.33,0,
67,56,47,2008-2,3,0,0,1.75,WF,0,1.33,0,
68,56,48,2012-3,3,0,0,,RE,0,1.33,0,REPEAT
