student_program_id,student_id,program_id,program_status,program_start,grad_date,program_end
1,1,1,Graduated,08/16/04,06/11/06,05/19/06
2,19,1,Graduated,08/19/02,06/11/06,05/19/06
3,56,1,Terminated,08/18/08,,
4,105,1,Dropped,08/14/02,,
5,109,1,Dropped,03/17/05,,
6,120,1,Graduated,08/16/04,06/11/06,05/19/06
7,138,1,Terminated,08/03/12,,
8,141,1,Graduated,08/18/03,06/18/05,05/30/05
9,158,1,Graduated,01/16/06,12/14/07,12/14/07
10,172,1,Graduated,08/18/03,06/18/05,05/30/05
11,189,1,Terminated,08/18/08,,
12,204,1,Graduated,08/14/06,12/22/08,12/22/08
13,227,1,Graduated,08/18/03,06/18/05,05/30/05
14,246,1,Graduated,08/16/04,06/11/06,05/19/06
15,265,1,Terminated,08/17/09,,
16,270,1,Dropped,08/20/01,,
17,292,1,Graduated,08/16/04,06/11/06,05/19/06
18,310,1,Graduated,08/20/01,06/18/05,05/30/05
19,343,1,Graduated,08/20/01,06/18/05,05/30/05
20,384,1,Graduated,08/16/04,01/26/13,12/10/12
21,408,1,Terminated,05/18/10,,
22,414,1,Terminated,08/12/13,,
23,417,1,Dropped,08/20/01,,
24,437,1,Graduated,08/20/01,06/18/05,05/30/05
25,465,1,Graduated,08/20/01,12/11/04,12/11/04
26,496,1,Dropped,08/20/01,,
27,498,1,Dropped,08/20/01,,
28,512,1,Dropped,08/20/01,,
29,520,1,Graduated,08/20/01,06/18/05,05/30/05
30,555,1,In Process,08/01/22,,
31,567,1,Graduated,08/18/03,06/18/05,05/30/05
32,584,1,Graduated,08/19/02,06/18/05,05/30/05
33,603,1,Terminated,08/01/18,,
34,606,1,Terminated,05/17/10,,
35,625,1,Graduated,08/18/03,06/09/07,05/18/07
36,645,1,Graduated,08/17/09,01/28/12,07/22/11
37,665,1,Graduated,08/20/03,06/11/06,05/19/06
38,681,1,Graduated,08/28/00,06/02/02,05/10/02
39,699,1,Graduated,08/19/02,06/13/04,05/27/04
40,716,1,Graduated,08/28/00,06/02/02,05/10/02
41,734,1,Graduated,08/18/03,06/18/05,05/30/05
42,751,1,Dropped,08/14/06,,
43,754,1,Terminated,05/30/11,,
44,757,1,Graduated,08/23/00,06/08/03,05/10/03
45,784,1,Dropped,08/15/02,,
46,803,1,Graduated,08/20/01,06/13/04,05/27/04
47,844,1,Graduated,08/18/03,06/18/05,05/30/05
48,859,1,Dropped,01/17/05,,
49,875,1,Dropped,06/15/04,,
50,886,1,Graduated,08/20/01,12/11/04,12/11/04
51,904,1,Graduated,08/23/01,06/08/03,05/10/03
52,921,1,Dropped,01/17/05,,
53,923,1,Graduated,08/15/05,06/09/07,05/18/07
54,944,1,Graduated,08/13/07,02/06/16,12/07/15
55,975,1,Graduated,08/16/04,06/20/09,05/26/09
56,1006,1,Dropped,08/06/02,,
57,1016,1,Graduated,08/19/02,06/13/15,05/18/15
58,1079,1,Graduated,08/19/02,12/08/05,12/08/05
59,1110,1,Dropped,08/06/02,,
60,1143,1,Dropped,08/06/02,,
61,1154,1,Graduated,08/16/04,06/09/07,05/19/06
62,1172,1,Dropped,08/06/02,,
63,1187,1,Graduated,01/18/10,06/16/12,05/22/12
64,1214,1,Graduated,08/15/05,06/09/07,05/18/07
65,1231,1,Graduated,08/18/04,06/11/06,05/19/06
66,1249,1,Graduated,08/16/04,06/11/06,05/19/06
67,1266,1,Graduated,08/16/04,06/11/06,05/19/06
68,1283,1,Graduated,08/16/04,06/11/06,05/19/06
69,1300,1,Graduated,07/30/04,06/11/06,05/19/06
70,1320,1,Dropped,08/16/04,,
